phone_number,is_valid,location
+1 466-887-8227,False,
+1 306-871-4455,True,Saskatchewan
+1 789-673-3932,False,
+1 436-364-6251,False,
+1 592-383-6815,False,
+1 740-603-6052,True,Ohio
+1 398-338-7102,False,
+1 772-330-3137,True,Florida
+1 962-661-0461,False,
+1 626-953-1097,True,California
+1 642-345-4057,False,
+1 772-572-4173,True,Florida
+1 518-477-2844,True,New York
+1 421-305-7272,False,
+1 545-917-2371,False,
+1 836-993-2433,False,
+1 683-802-7866,False,
+1 577-364-3293,True,
+1 640-941-0621,True,New Jersey
+1 554-415-6884,False,
+1 899-649-8496,False,
+1 217-937-7290,True,Illinois
+1 305-668-1350,True,"Miami, FL"
+1 866-493-5051,True,
+1 942-695-7834,False,
+1 228-818-3461,True,"Ocean Springs, MS"
+1 475-633-3252,True,Connecticut
+1 813-698-4203,True,Florida
+1 687-567-7305,False,
+1 796-988-9602,False,
+1 452-217-0048,False,
+1 643-663-1730,False,
+1 848-234-8009,True,New Jersey
+1 752-454-5616,False,
+1 371-632-2439,False,
+1 320-206-1221,True,Minnesota
+1 945-366-2240,False,
+1 589-915-6939,False,
+1 741-710-2355,False,
+1 522-207-9467,True,
+1 325-384-2018,True,Texas
+1 901-907-3499,True,Tennessee
+1 205-996-0770,True,"Birmingham, AL"
+1 394-486-8032,False,
+1 839-446-4571,False,
+1 665-890-0407,False,
+1 768-803-5781,False,
+1 753-424-1830,False,
+1 616-610-5054,True,Michigan
+1 218-286-3952,True,Minnesota
+1 395-865-0359,False,
+1 960-806-4458,False,
+1 582-466-0577,False,
+1 690-600-0370,False,
+1 508-824-7216,True,"Taunton, MA"
+1 547-209-9975,False,
+1 635-272-3681,False,
+1 234-437-2744,True,Ohio
+1 746-428-1984,False,
+1 920-854-3935,True,"Sister Bay, WI"
+1 414-286-6642,True,"Milwaukee, WI"
+1 866-727-3286,True,
+1 854-346-7924,True,Ohio
+1 233-965-8459,False,
+1 316-449-7680,True,Kansas
+1 374-766-0931,False,
+1 942-527-9579,False,
+1 840-802-0533,False,
+1 761-496-9321,False,
+1 592-657-6217,False,
+1 758-442-3827,False,
+1 341-954-9418,True,California
+1 284-609-5802,False,
+1 271-338-4610,False,
+1 920-541-8102,True,Wisconsin
+1 227-673-7465,False,
+1 576-433-4445,False,
+1 973-830-2680,True,New Jersey
+1 284-655-7442,False,
+1 449-495-8035,False,
+1 460-802-4446,False,
+1 907-562-4373,True,"Anchorage, AK"
+1 700-563-4021,False,
+1 903-365-2303,True,Texas
+1 882-455-0831,False,
+1 313-475-8965,True,Michigan
+1 373-976-0060,False,
+1 996-690-2734,False,
+1 475-987-0069,True,Connecticut
+1 678-821-3628,True,Georgia
+1 327-246-9291,False,
+1 826-354-9583,False,
+1 692-307-5495,False,
+1 691-782-9752,False,
+1 817-273-8288,True,Texas
+1 632-350-7413,False,
+1 849-304-1176,True,Dominican Republic
+1 355-354-3815,False,
+1 432-698-7158,True,Texas
+1 548-666-5046,True,Ontario
+1 681-882-3744,True,West Virginia
+1 282-238-9503,False,
+1 866-845-8042,True,
+1 893-225-1751,False,
+1 716-421-8185,True,New York
+1 600-993-5743,True,Canada
+1 241-563-7850,False,
+1 803-609-0850,True,South Carolina
+1 383-230-5592,False,
+1 713-320-6537,True,Texas
+1 357-431-6762,False,
+1 364-340-9836,True,Kentucky
+1 820-998-1522,True,California
+1 352-429-1586,True,"Groveland, FL"
+1 848-394-6272,True,New Jersey
+1 448-388-9522,False,
+1 932-707-6957,False,
+1 868-732-0941,True,Trinidad & Tobago
+1 509-444-0543,True,"Spokane, WA"
+1 941-778-6131,True,Florida
+1 863-226-7392,True,Florida
+1 646-296-1876,True,New York
+1 777-521-5703,False,
+1 799-853-0380,False,
+1 996-551-1046,False,
+1 609-703-2219,True,New Jersey
+1 704-857-4259,True,"China Grove, NC"
+1 630-496-9000,True,Illinois
+1 913-420-8256,True,Kansas
+1 889-807-3824,False,
+1 770-377-8392,True,Georgia
+1 611-408-6776,False,
+1 242-888-1914,False,
+1 705-708-6457,True,Ontario
+1 476-767-2155,False,
+1 789-211-8023,False,
+1 218-397-5874,True,Minnesota
+1 532-925-0406,False,
+1 494-716-1757,False,
+1 996-467-1379,False,
+1 596-625-2360,False,
+1 683-892-5894,False,
+1 823-664-8462,False,
+1 249-692-8952,True,Ontario
+1 691-781-0770,False,
+1 583-608-4058,False,
+1 371-698-4027,False,
+1 231-449-3602,True,Michigan
+1 735-645-3761,False,
+1 718-682-1498,True,New York
+1 960-787-2338,False,
+1 397-263-5416,False,
+1 492-508-8230,False,
+1 835-968-1569,False,
+1 630-767-9085,True,Illinois
+1 848-989-5349,True,New Jersey
+1 467-643-0683,False,
+1 378-933-0043,False,
+1 714-540-7734,True,California
+1 258-556-1083,False,
+1 220-248-7571,True,Ohio
+1 319-593-7275,True,Iowa
+1 912-271-7187,True,Georgia
+1 295-401-5489,False,
+1 286-712-0189,False,
+1 492-562-9922,False,
+1 726-669-4733,True,"San Antonio, TX"
+1 484-756-9986,True,Pennsylvania
+1 608-543-4970,True,Wisconsin
+1 679-643-4271,False,
+1 884-430-3808,False,
+1 387-785-4669,False,
+1 761-703-8183,False,
+1 527-470-6626,False,
+1 704-505-7314,True,North Carolina
+1 286-356-2268,False,
+1 558-619-0690,False,
+1 563-824-6198,True,Iowa
+1 243-828-6648,False,
+1 731-968-3776,True,"Lexington, TN"
+1 659-524-0918,False,
+1 547-646-5914,False,
+1 829-400-5137,True,Dominican Republic
+1 378-970-0494,False,
+1 361-311-0684,True,Texas
+1 243-258-4396,False,
+1 707-366-3178,True,California
+1 703-859-5287,True,Virginia
+1 977-463-6776,False,
+1 994-931-6875,False,
+1 876-750-4007,True,Jamaica
+1 806-538-1702,True,Texas
+1 213-397-0149,True,"Los Angeles, CA"
+1 763-264-1478,True,Minnesota
+1 521-444-0324,True,
+1 840-762-7611,False,
+1 674-973-0078,False,
+1 350-978-3925,False,
+1 638-870-7735,False,
+1 218-568-7571,True,"Pequot Lakes, MN"
+1 944-872-3452,False,
+1 654-358-9689,False,
+1 441-950-8170,False,
+1 436-644-4119,False,
+1 436-479-2383,False,
+1 842-875-1674,False,
+1 921-309-2857,False,
+1 647-789-1727,True,Ontario
+1 510-292-7279,True,California
+1 910-637-9631,True,North Carolina
+1 934-731-4520,True,"New York, NY"
+1 450-779-7476,True,Quebec
+1 951-407-9738,True,California
+1 558-560-3250,False,
+1 867-378-8585,True,Northwest Territories/Nunavut/Yukon
+1 451-712-6496,False,
+1 211-635-1691,False,
+1 947-475-4975,True,Michigan
+1 436-776-8029,False,
+1 233-694-5889,False,
+1 495-879-1224,False,
+1 481-566-2987,False,
+1 805-408-0315,True,California
+1 515-686-7293,True,Iowa
+1 427-813-3007,False,
+1 525-345-6826,False,
+1 490-265-1630,False,
+1 276-440-4484,True,Virginia
+1 971-433-2870,True,Oregon
+1 812-357-7058,True,Indiana
+1 755-541-7760,False,
+1 794-524-6871,False,
+1 882-539-3220,False,
+1 202-725-6611,True,Washington D.C.
+1 742-524-0588,False,
+1 455-333-2031,False,
+1 370-954-2350,False,
+1 529-856-2171,False,
+1 645-923-1210,False,
+1 223-372-5963,True,Pennsylvania
+1 840-750-5100,False,
+1 631-950-6786,True,New York
+1 933-721-9004,False,
+1 825-580-7471,True,Alberta
+1 291-708-0942,False,
+1 785-842-7047,True,"Lawrence, KS"
+1 440-431-9127,True,Ohio
+1 256-778-1711,True,"Somerville, AL"
+1 234-983-3346,True,Ohio
+1 730-930-3938,False,
+1 328-969-5260,False,
+1 401-284-0667,True,Rhode Island
+1 705-443-6453,True,"Collingwood, ON"
+1 759-620-1939,False,
+1 717-819-2642,True,Pennsylvania
+1 480-374-5045,True,Arizona
+1 868-833-9656,False,
+1 399-371-4361,False,
+1 807-811-7529,True,Ontario
+1 527-511-5883,False,
+1 736-766-9235,False,
+1 302-866-1644,True,Delaware
+1 814-725-2482,True,"North East, PA"
+1 597-356-4348,False,
+1 621-532-7566,False,
+1 975-658-8769,False,
+1 402-292-0051,True,"Bellevue, NE"
+1 419-636-9721,True,"Bryan, OH"
+1 450-236-6574,True,Quebec
+1 833-772-4639,True,
+1 829-333-4082,True,Dominican Republic
+1 491-734-1991,False,
+1 984-366-3177,True,North Carolina
+1 448-971-1939,False,
+1 529-968-6892,False,
+1 415-465-6890,True,California
+1 697-919-0513,False,
+1 556-872-9506,False,
+1 764-259-7673,False,
+1 530-771-0735,True,California
+1 872-684-0685,True,"Chicago, IL"
+1 391-674-0276,False,
+1 791-422-2154,False,
+1 902-210-5961,True,Nova Scotia/Prince Edward Island
+1 212-230-8181,True,"New York, NY"
+1 589-674-6708,False,
+1 895-622-1958,False,
+1 383-889-9806,False,
+1 362-591-0195,False,
+1 515-781-4721,True,Iowa
+1 798-628-8193,False,
+1 857-976-9526,True,Massachusetts
+1 893-891-8969,False,
+1 368-633-9258,False,
+1 838-642-8234,True,New York
+1 330-565-6942,True,Ohio
+1 801-803-1796,True,Utah
+1 592-699-4621,False,
+1 503-539-5566,True,Oregon
+1 200-468-1193,False,
+1 998-870-1392,False,
+1 217-650-4158,True,Illinois
+1 529-338-1939,False,
+1 314-577-3884,True,"St. Louis, MO"
+1 786-683-2177,True,Florida
+1 231-808-5677,True,Michigan
+1 438-511-9779,True,Quebec
+1 316-283-8821,True,"Newton, KS"
+1 280-653-8857,False,
+1 502-670-1502,True,Kentucky
+1 256-293-8678,True,Alabama
+1 827-679-4775,False,
+1 957-420-1635,False,
+1 206-514-6683,True,Washington State
+1 761-294-8938,False,
+1 614-744-8516,True,Ohio
+1 283-793-1591,True,Ohio
+1 983-422-0064,False,
+1 424-601-2497,True,California
+1 703-931-2818,True,Virginia
+1 533-255-8935,True,
+1 745-406-1164,False,
+1 567-946-9022,True,Ohio
+1 728-696-1543,False,
+1 818-962-1907,True,California
+1 226-393-2304,True,Ontario
+1 814-917-1773,True,Pennsylvania
+1 912-433-8842,True,Georgia
+1 736-315-6630,False,
+1 592-533-5867,False,
+1 798-460-0572,False,
+1 856-346-6146,True,New Jersey
+1 375-304-8881,False,
+1 847-497-6557,True,Illinois
+1 469-223-6770,True,Texas
+1 856-660-1985,True,New Jersey
+1 599-402-6270,False,
+1 428-351-2854,False,
+1 913-616-9701,True,Kansas
+1 681-310-3109,True,West Virginia
+1 757-915-3865,True,Virginia
+1 872-380-8705,True,"Chicago, IL"
+1 237-596-1951,False,
+1 486-489-1179,False,
+1 469-301-6147,True,Texas
+1 461-553-5080,False,
+1 982-314-0929,False,
+1 936-758-2196,True,Texas
+1 484-469-4820,True,Pennsylvania
+1 308-449-6218,True,Nebraska
+1 202-390-9639,True,Washington D.C.
+1 844-640-6056,True,
+1 935-771-8410,False,
+1 777-421-5368,False,
+1 820-440-4104,True,California
+1 334-521-4339,True,Alabama
+1 980-233-0803,True,North Carolina
+1 393-252-1674,False,
+1 938-904-3469,True,Alabama
+1 309-901-3402,True,Illinois
+1 435-928-3517,True,Utah
+1 875-930-0935,False,
+1 544-918-3810,True,
+1 576-595-7314,False,
+1 514-695-1542,True,"Pointe-Claire, QC"
+1 992-476-9415,False,
+1 294-677-0363,False,
+1 658-823-9292,True,Jamaica
+1 332-686-3235,True,"New York, NY"
+1 843-740-2964,True,"North Charleston, SC"
+1 576-270-5432,False,
+1 868-903-1596,False,
+1 299-206-5231,False,
+1 313-828-1004,True,Michigan
+1 561-853-5042,True,Florida
+1 613-488-8736,True,Ontario
+1 949-233-3762,True,California
+1 214-440-5057,True,Texas
+1 703-800-5284,True,Virginia
+1 997-401-2537,False,
+1 243-794-4502,False,
+1 848-908-3347,True,New Jersey
+1 507-965-8943,True,Minnesota
+1 315-786-8996,True,"Watertown, NY"
+1 277-365-1512,False,
+1 638-661-7880,False,
+1 763-751-0692,True,Minnesota
+1 309-485-9474,True,Illinois
+1 736-628-5254,False,
+1 613-820-2639,True,Ontario
+1 588-752-4652,True,
+1 532-703-6564,False,
+1 975-587-3202,False,
+1 324-711-7566,False,
+1 237-821-0464,False,
+1 900-591-7740,True,
+1 375-216-7692,False,
+1 421-780-9593,False,
+1 543-742-2703,False,
+1 328-680-7813,False,
+1 576-950-7583,False,
+1 248-796-7894,True,"Southfield, MI"
+1 924-427-7332,False,
+1 607-253-9274,True,New York
+1 219-317-0544,True,Indiana
+1 849-998-4530,True,Dominican Republic
+1 490-812-8218,False,
+1 309-735-6783,True,Illinois
+1 414-542-9704,True,Wisconsin
+1 738-460-6465,False,
+1 758-423-6168,False,
+1 991-348-1767,False,
+1 835-869-9331,False,
+1 486-261-2736,False,
+1 244-869-7598,False,
+1 238-457-7347,False,
+1 596-267-6165,False,
+1 433-706-6569,False,
+1 690-583-1598,False,
+1 701-532-3560,True,North Dakota
+1 965-646-7191,False,
+1 660-397-8896,True,"Edina, MO"
+1 486-502-7735,False,
+1 607-565-8936,True,"Waverly, NY"
+1 388-496-6004,False,
+1 566-708-7634,True,
+1 833-827-4953,True,
+1 850-410-0620,True,Florida
+1 560-951-6961,False,
+1 595-809-9052,False,
+1 766-236-2472,False,
+1 822-558-7268,False,
+1 394-998-7445,False,
+1 524-370-7967,False,
+1 749-549-4838,False,
+1 763-350-4698,True,Minnesota
+1 458-901-1891,True,Oregon
+1 731-472-2986,True,Tennessee
+1 314-793-9265,True,Missouri
+1 207-667-0960,True,"Ellsworth, ME"
+1 937-794-2573,True,Ohio
+1 924-516-8660,False,
+1 626-580-3237,True,California
+1 810-661-1655,True,Michigan
+1 945-784-3212,False,
+1 473-918-2489,False,
+1 988-887-4614,False,
+1 623-714-3614,True,Arizona
+1 710-484-4668,True,United States
+1 299-885-7479,False,
+1 508-853-9520,True,"Worcester, MA"
+1 995-223-1343,False,
+1 998-963-1298,False,
+1 854-827-3181,True,Ohio
+1 551-440-9129,True,New Jersey
+1 438-831-5800,True,Quebec
+1 506-956-9501,True,New Brunswick
+1 957-586-7378,False,
+1 535-343-3850,False,
+1 777-583-3988,False,
+1 455-821-6059,False,
+1 364-889-6509,True,Kentucky
+1 310-811-4961,True,California
+1 878-774-4954,True,Pennsylvania
+1 677-630-5840,False,
+1 797-401-9806,False,
+1 777-610-4274,False,
+1 394-805-1138,False,
+1 694-989-4530,False,
+1 639-749-4434,True,Saskatchewan
+1 299-355-1976,False,
+1 518-969-3438,True,New York
+1 517-927-2162,True,Michigan
+1 223-261-6043,True,Pennsylvania
+1 573-584-3794,True,Missouri
+1 990-835-9465,False,
+1 359-283-7304,False,
+1 715-920-2015,True,Wisconsin
+1 228-726-5728,True,Mississippi
+1 564-262-0603,True,Washington State
+1 794-384-8347,False,
+1 215-407-0437,True,Pennsylvania
+1 643-550-3845,False,
+1 360-204-5126,True,Washington State
+1 940-470-2228,True,Texas
+1 729-911-5325,False,
+1 371-380-3206,False,
+1 271-314-6532,False,
+1 974-255-4614,False,
+1 751-641-3910,False,
+1 996-821-6940,False,
+1 679-306-0571,False,
+1 737-236-7119,True,Texas
+1 637-283-3547,False,
+1 776-960-0202,False,
+1 853-281-3766,False,
+1 506-381-8962,True,New Brunswick
+1 229-260-7815,True,Georgia
+1 900-500-8471,True,
+1 400-976-6001,False,
+1 587-510-4003,True,Alberta
+1 207-470-1618,True,Maine
+1 651-538-5679,True,Minnesota
+1 445-431-9970,True,Philadelphia
+1 362-418-9432,False,
+1 994-954-6093,False,
+1 845-214-1539,True,New York
+1 922-666-9176,False,
+1 944-358-7088,False,
+1 564-432-3330,True,Washington State
+1 775-302-5284,True,Nevada
+1 856-734-9852,True,New Jersey
+1 933-584-2646,False,
+1 670-351-9093,False,
+1 298-891-4571,False,
+1 707-330-6853,True,California
+1 732-331-0297,True,New Jersey
+1 678-719-2532,True,Georgia
+1 655-809-2498,False,
+1 879-345-7272,False,
+1 936-844-5507,True,Texas
+1 794-364-5014,False,
+1 780-315-0667,True,Alberta
+1 745-712-7420,False,
+1 371-770-7265,False,
+1 625-574-1162,False,
+1 485-565-1866,False,
+1 456-502-4612,False,
+1 843-603-7339,True,South Carolina
+1 930-489-0846,True,Indiana
+1 672-835-1340,True,British Columbia
+1 519-379-7381,True,Ontario
+1 538-650-3255,False,
+1 744-475-4822,False,
+1 778-213-1689,True,British Columbia
+1 828-611-4449,True,North Carolina
+1 274-245-6627,False,
+1 260-479-2386,True,Indiana
+1 544-926-3184,True,
+1 298-957-3896,False,
+1 818-292-1448,True,California
+1 854-714-3860,True,Ohio
+1 515-339-7384,True,Iowa
+1 579-301-7930,True,Quebec
+1 944-297-5620,False,
+1 253-317-2454,True,Washington State
+1 284-831-7562,False,
+1 701-647-2304,True,North Dakota
+1 597-853-3243,False,
+1 821-808-4686,False,
+1 858-986-7145,True,California
+1 983-978-1394,False,
+1 201-694-7319,True,New Jersey
+1 540-738-4262,True,Virginia
+1 754-830-0174,True,Florida
+1 951-419-5486,True,California
+1 767-475-7937,False,
+1 654-614-0181,False,
+1 598-783-3382,False,
+1 830-797-8458,True,Texas
+1 437-517-1874,True,Ontario
+1 628-948-6066,True,California
+1 505-299-7599,True,"Albuquerque, NM"
+1 868-852-4374,False,
+1 380-450-3778,True,Ohio
+1 497-261-1653,False,
+1 972-972-5132,True,Texas
+1 518-920-4527,True,New York
+1 335-373-0145,False,
+1 349-601-2923,False,
+1 577-588-1597,True,
+1 840-981-4736,False,
+1 264-813-1453,False,
+1 276-759-1270,True,Virginia
+1 734-624-4498,True,Michigan
+1 260-521-3014,True,Indiana
+1 328-255-6961,False,
+1 208-431-5313,True,Idaho
+1 682-452-1516,True,Texas
+1 252-612-6218,True,North Carolina
+1 605-931-4873,True,South Dakota
+1 986-357-7335,True,Idaho
+1 619-861-7003,True,California
+1 590-860-3144,False,
+1 675-987-7983,False,
+1 209-446-3251,True,California
+1 235-562-1942,False,
+1 672-570-9356,True,British Columbia
+1 749-854-4149,False,
+1 351-864-9141,True,Massachusetts
+1 271-668-7106,False,
+1 806-385-7048,True,"Littlefield, TX"
+1 562-778-7685,True,California
+1 433-445-0229,False,
+1 204-901-5852,True,Manitoba
+1 546-540-3379,False,
+1 823-235-6388,False,
+1 408-254-0691,True,"San Jose, CA"
+1 965-495-0199,False,
+1 664-493-8682,True,Montserrat
+1 709-885-1729,True,Newfoundland and Labrador
+1 456-204-6812,False,
+1 546-787-0823,False,
+1 964-220-2080,False,
+1 737-807-1766,True,Texas
+1 612-419-4365,True,Minnesota
+1 741-903-3773,False,
+1 552-257-7758,False,
